ID,Titre,Scenario,Reference_Regle,Application_Regle,Commentaires,Image,URL
21,Vessel A has vessel B on her own starboard side (relative bearing STBD 054°),Vessel A: Power-driven vessel Vessel B: Power-driven vessel Area: On the high seas Visibility: Good (Vessels in sight of one another) Vessel A and vessel B are crossing so as to involve risk of collision Vessel A has vessel B on her own starboard side (relative bearing STBD 054°),Rule 15 (Crossing situation),"In accordance with Rule 15 (Crossing situation), when two power-driven vessels are crossing so as to involve risk of collision , the vessel (vessel A) which has the other (vessel B) on her own starboard side shall keep out of the way. In accordance with Rule 15 (Crossing situation), vessel A shall, if the circumstances of the case admit, avoid crossing ahead of the vessel B.","Crossing situation shall be deemed to exist when a vessel is approaching the other vessel from a direction right ahead to 112,5° on any side of the vessel except when vessels are meeting on reciprocal or nearly reciprocal courses. In crossing situation at night a vessel would be able to see only green or red sidelight and masthead light (s) of the other vessel.",scenario_21.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=21
23,Vessel A has vessel B on her own starboard side (relative bearing STBD 030°),Vessel A: Power-driven vessel Vessel B: Power-driven vessel Area: On the high seas Visibility: Good (Vessels in sight of one another) Vessel A and vessel B are crossing so as to involve risk of collision Vessel A has vessel B on her own starboard side (relative bearing STBD 030°),Rule 15 (Crossing situation),"In accordance with Rule 15 (Crossing situation), when two power-driven vessels are crossing so as to involve risk of collision , the vessel (vessel A) which has the other (vessel B) on her own starboard side shall keep out of the way. In accordance with Rule 15 (Crossing situation), vessel A shall, if the circumstances of the case admit, avoid crossing ahead of the vessel B.","Crossing situation shall be deemed to exist when a vessel is approaching the other vessel from a direction right ahead to 112,5° on any side of the vessel except when vessels are meeting on reciprocal or nearly reciprocal courses. In crossing situation at night a vessel would be able to see only green or red sidelight and masthead light (s) of the other vessel.",scenario_23.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=23
25,Crossing situation (relative bearing STBD 070°) - altering course to starboard,Vessel A: power-driven vessel Vessel B: power-driven vessel Area: On the high seas Visibility: Good (Vessels in sight of one another) Vessel A has vessel B on her own starboard side (relative bearing STBD 070°) Vessel A and vessel B are crossing so as to involve risk of collision Vessel A is altering course to starboard to avoid collision with vessel B,Rule 15 (Crossing situation) Rule 16 (Action by give-way vessel),"In accordance with Rule 15 (Crossing situation), when two power-driven vessels are crossing so as to involve risk of collision , the vessel (vessel A) which has the other (vessel B) on her own starboard side shall keep out of the way. In accordance with Rule 15 (Crossing situation), vessel A shall, if the circumstances of the case admit, avoid crossing ahead of vessel B. In accordance with Rule 16 (Action by give-way vessel), every vessel (vessel A) which is directed to keep out of the way of another vessel (vessel B) shall, so far as possible, take early and substantial action to keep well clear.",,scenario_25.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=25
26,Head-on situation (vessels are meeting on reciprocal courses),Vessel A: Power-driven vessel Vessel B: Power-driven vessel Area: On the high seas Visibility: Good (Vessels in sight of one another) Vessel A is meeting vessel B on reciprocal courses so as to involve risk of collision Vessel A has vessel B right ahead (relative bearing 000°),Rule 14 (Head-on situation) Rule 16 (Action by give-way vessel),"In accordance with Rule 14 (b) (Head-on situation), head-on situation shall be deemed to exist when a vessel A sees the other (vessel B) ahead and by night she could see the masthead lights of the other in a line and/or both sidelights and by day she observes the corresponding aspect of the other vessel. In accordance with Rule 14 (a) (Head-on situation), when two power-driven vessels are meeting on reciprocal courses so as to involve risk of collision each shall alter her course to starboard so that each shall pass on the port side of the other. In accordance with Rule 16 (Action by give-way vessel), vessels A and B which are both directed to keep out of the way of each other shall, so far as possible, take early and substantial action to keep well clear.",,scenario_26.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=26
28,Head-on situation (vessels are meeting on nearly reciprocal courses - vessel A has vessel B on STBD bow),Vessel A: power-driven vessel Vessel B: power-driven vessel Area: On the high seas Visibility: Good (Vessels in sight of one another) Vessel A is meeting vessel B on nearly reciprocal courses so as to involve risk of collision Vessel A has vessel B nearly ahead on STBD bow,Rule 14 (Head-on situation) Rule 16 (Action by give-way vessel),"In accordance with Rule 14 (b) (Head-on situation), head-on situation shall be deemed to exist when a vessel A sees the other (vessel B) nearly ahead and by night she could see the masthead lights of the other nearly in a line and/or both sidelights and by day she observes the corresponding aspect of the other vessel. In accordance with Rule 14 (a) (Head-on situation), when two power-driven vessels are meeting on nearly reciprocal courses so as to involve risk of collision each shall alter her course to starboard so that each shall pass on the port side of the other. In accordance with Rule 16 (Action by give-way vessel), vessels A and B which are both directed to keep out of the way of each other shall, so far as possible, take early and substantial action to keep well clear.",,scenario_28.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=28
29,Head-on situation (vessels are meeting on nearly reciprocal courses - vessel A has vessel B on PORT bow),Vessel A: power-driven vessel Vessel B: power-driven vessel Area: On the high seas Visibility: Good (Vessels in sight of one another) Vessel A is meeting vessel B on nearly reciprocal courses so as to involve risk of collision Vessel A has vessel B nearly ahead on PORT bow,Rule 14 (Head-on situation) Rule 16 (Action by give-way vessel),"In accordance with Rule 14 (b) (Head-on situation), head-on situation shall be deemed to exist when a vessel A sees the other (vessel B) nearly ahead and by night she could see the masthead lights of the other nearly in a line and/or both sidelights and by day she observes the corresponding aspect of the other vessel. In accordance with Rule 14 (a) (Head-on situation), when two power-driven vessels are meeting on nearly reciprocal courses so as to involve risk of collision each shall alter her course to starboard so that each shall pass on the port side of the other. In accordance with Rule 16 (Action by give-way vessel), vessels A and B which are both directed to keep out of the way of each other shall, so far as possible, take early and substantial action to keep well clear.",,scenario_29.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=29
30,A power-driven vessel under 50 m underway - lights,Type of vessel: Power-driven vessel of less than 50 m in length underway Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 23 (Power-driven vessels underway ),"In accordance with Rule 23 (a) (Power-driven vessels underway ), a power-driven vessel underway shall exhibit: (i) a masthead light forward; (iii) sidelights ; (iv) a sternlight . In accordance with Rule 23 (a) (ii) (Power-driven vessels underway ), a power-driven vessel of less than 50 m in length shall not be obliged to exhibit a second masthead light abaft of and higher than the forward one but may do so.",,scenario_30.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=30
39,A power-driven vessel over 50 m underway - lights,Type of vessel: Power-driven vessel of more than 50 m in length underway Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 23 (Power-driven vessels underway ),"In accordance with Rule 23 (a) (Power-driven vessels underway ), a power-driven vessel underway , shall exhibit: (i) a masthead light forward; (ii) a second masthead light abaft of and higher than the forward one; (iii) sidelights ; (iv) a sternlight .",,scenario_39.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=39
40,A power-driven vessel under 12 m underway - lights,Type of vessel: Power-driven vessel of less than 12 m in length underway Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 23 (Power-driven vessels underway ),"In accordance with Rule 23 (d)(i) (Power-driven vessels underway ), a power-driven vessel of less than 12 m in length may in lieu of the lights prescribed in Rule 23 (a) (Power-driven vessels underway ) exhibit: - an all-round white light and - sidelights .",,scenario_40.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=40
41,A power-driven vessel under 7 m and maximum speed up to 7 knots underway - lights,Type of vessel: Power-driven vessel of less than 7 m in length whose maximum speed does not exceed 7 knots underway Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 23 (Power-driven vessels underway ),"In accordance with Rule 23 (d)(ii) (Power-driven vessels underway ), a power-driven vessel of less than 7 m in length whose maximum speed does not exceed 7 knots may in lieu of the lights prescribed in Rule 23 (a) (Power-driven vessels underway ) exhibit: - an all-round white light and - shall, if practicable, also exhibit sidelights .",,scenario_41.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=41
